SAL.START,SEX,WORK.EXP,AGE,SENIOR,SAL.NOW
5250,1,92,306,12,11400
3455,1,93,310,12,10560
4140,1,93,311,12,9180
5380,1,80,300,12,7260
5270,1,79,296,12,9900
3730,1,80,301,12,9720
4425,1,81,292,8,9000
4355,1,81,294,12,9240
4705,1,81,299,12,8820
4620,1,81,303,12,7860
4850,1,67,325,15,12540
3225,1,65,276,12,8700
3410,1,66,283,12,8160
5295,1,68,281,12,9120
4440,1,69,281,12,8160
3645,1,69,281,12,9060
5510,1,69,284,12,9120
5540,1,69,284,12,8280
3765,1,69,285,12,8340
4235,1,77,296,12,8520
4380,1,80,292,12,9360
3330,1,80,292,12,8940
3220,1,80,294,12,7860
3620,1,80,300,12,9360
3810,1,80,301,12,11400
5645,1,81,289,12,9240
3580,1,81,297,12,10920
3490,1,81,298,12,9060
4595,1,81,301,12,9960
5055,1,83,310,12,9600
3905,1,92,315,12,8040
3870,1,93,307,12,11040
3950,1,74,288,12,10440
4560,1,81,295,12,10680
3750,1,93,322,15,11700
3600,1,93,337,15,9660
3375,1,69,279,12,8640
5625,1,73,726,8,8460
4015,1,76,315,15,10200
5215,1,79,292,12,9780
4775,1,81,295,12,10200
3240,1,81,297,8,10980
4905,1,77,292,12,13800
3570,1,69,279,8,11640
4395,1,69,284,12,12240
3310,1,69,289,12,9780
3400,1,69,290,12,11160
3420,1,63,680,12,8580
4045,1,65,298,12,9000
5320,1,69,293,12,9540
4565,1,73,667,17,11640
4970,1,81,326,15,11280
3900,1,88,332,15,14220
3710,1,64,546,12,9360
5390,1,67,618,12,8340
3255,1,69,309,15,9660
5455,1,73,328,12,11160
5075,1,78,326,12,9840
5280,1,90,345,15,13020
5140,1,94,354,15,10560
5550,1,64,349,15,10080
5495,1,72,328,12,11520
4065,1,73,307,15,9180
5060,1,63,301,12,11760
5335,0,65,307,15,12660
4400,0,95,352,12,9300
4655,0,96,356,12,14460
3725,0,96,364,15,13020
3610,0,70,334,12,10980
4080,0,71,322,14,11220
3855,0,72,338,15,11340
4365,1,76,327,12,11664
3935,0,81,368,15,10620
3825,0,87,378,12,11040
5310,1,90,534,12,13320
5165,0,94,401,12,10800
4895,0,96,386,15,16800
5020,1,72,309,12,11760
5355,0,63,327,12,15660
4145,0,66,329,12,13416
4805,0,66,344,12,12108
4060,0,67,345,15,12480
3925,0,68,344,15,12120
3560,0,70,322,15,11760
5220,0,70,341,15,10140
5035,0,70,349,15,11940
4840,0,76,331,15,17364
4900,1,82,350,16,9300
3930,0,82,354,15,32000
5515,0,82,361,12,11940
4555,0,91,364,14,15960
4915,0,91,381,15,10980
4215,0,92,390,15,12660
5620,0,94,365,15,13560
4220,0,64,383,12,13560
5555,0,67,369,15,10860
3540,0,70,534,12,9000
3505,1,71,299,12,8880
4105,0,79,364,15,11100
5045,0,79,368,12,13560
4250,0,83,397,15,13260
3550,1,86,340,15,11760
5315,1,90,365,16,15420
4670,0,90,394,14,15120
3680,0,94,432,15,13920
5175,1,98,527,16,12120
4645,1,80,362,16,13800
3315,1,85,384,16,14280
4285,0,65,492,12,11520
4685,1,71,361,16,14640
5195,1,75,345,15,14820
4315,1,75,351,16,13200
5450,1,78,342,15,13020
3715,1,90,740,12,12600
4090,1,64,322,16,13140
3980,1,82,705,15,11100
